dataset,seed,accuracy,std_cp_cov,std_cp_size,std_cp_is,sacp03_cov,sacp03_size,sacp03_is,sacp05_cov,sacp05_size,sacp05_is,sacp07_cov,sacp07_size,sacp07_is,geocp_cov,geocp_size,geocp_is,geocp_bw
sa,1,0.8979584261321455,0.8988492947290274,1.1119153674832962,3.134929472902747,0.9007052709725315,1.042687453600594,3.028582034149963,0.9015590200445435,1.0239792130660728,2.992798812175204,0.9014476614699332,1.0113214550853749,2.9823682256867112,0.9060504825538234,1.0853377876763177,2.9643281365998515,5
sa,2,0.8857089829250185,0.902301410541945,1.1732739420935412,3.12724573125464,0.904083147735709,1.0811061618411284,2.999443207126949,0.902264291017075,1.052264291017075,3.0069784706755756,0.9012620638455828,1.0384187082405345,3.013177431328879,0.9088344469190794,1.0844840386043058,2.9077951002227174,50
sa,3,0.8955085374907201,0.8994803266518189,1.1529324424647365,3.1633259094283592,0.8984780994803266,1.0734966592427617,3.1039346696362284,0.8975501113585747,1.037268002969562,3.08626577579807,0.8974016332590943,1.0207126948775056,3.07268002969562,0.9010764662212324,1.1157015590200445,3.0941722345953973,5
sa,4,0.8956941351150706,0.8988492947290274,1.1521529324424646,3.1751670378619155,0.8966221232368226,1.0564959168522643,3.1240534521158128,0.8965478841870824,1.0307349665924277,3.0997772828507797,0.8981069042316259,1.0178544914625092,3.0557164068299927,0.906829992576095,1.1161098737936155,2.979510022271715,5
sa,5,0.8780252412769116,0.9034149962880476,1.169561989606533,3.101262063845583,0.9020044543429844,1.0785820341499628,3.038492947290275,0.9031180400890868,1.0619524870081662,2.999591685226429,0.9028582034149963,1.0517446176688938,2.994580549368968,0.9063845582776541,1.1229769858945806,2.9952858203414996,7
sa,6,0.8847067557535263,0.9026726057906459,1.1872308834446919,3.133778767631774,0.9014476614699332,1.0807349665924275,3.051781737193764,0.9026354862657758,1.0508537490720118,2.998144023756496,0.903155159613957,1.037676317743133,2.974573125463994,0.9095768374164811,1.1253526354862657,2.933815887156644,10
sa,7,0.855011135857461,0.9027839643652561,1.2356718634001485,3.179992576095026,0.8989235337787677,1.126317743132888,3.147847067557535,0.8990720118782479,1.1016332590942837,3.1201930215293245,0.8995916852264291,1.0938752783964365,3.1020415738678544,0.9126577579806978,1.1405345211581293,2.887379361544172,50
sa,8,0.8924647364513735,0.9052709725315516,1.1569042316258351,3.0514847809948034,0.9034892353377877,1.0671863400148478,2.9974016332590945,0.9023385300668152,1.0388641425389755,2.9920935412026726,0.9021529324424648,1.0247587230883444,2.9817000742390496,0.9085746102449889,1.0946176688938383,2.9231254639940607,20
sa,9,0.8642538975501114,0.9012620638455828,1.2139198218262806,3.188678544914625,0.9025241276911655,1.1120638455827765,3.0615812917594654,0.9014847809948032,1.0861915367483297,3.0564959168522643,0.897735708982925,1.0706013363028952,3.115887156644395,0.910022271714922,1.2149220489977728,3.014476614699332,5
ksc,0,0.8004836759371221,0.8875453446191052,1.826682789197904,4.0757758968158,0.8919790407093914,1.5268037081821846,3.687222893994357,0.8919790407093914,1.4635227730753728,3.6239419588875452,0.8899637243047158,1.4220072551390568,3.62273276904474,0.898428053204353,1.5280128980249899,3.559451833937928,50
ksc,1,0.7629987908101572,0.9085046352277307,2.1229343006852077,3.9528415961305927,0.9105199516324063,1.8053204353083434,3.594921402660218,0.9089076985086658,1.6892382103990327,3.5110842402257156,0.9109230149133414,1.6320032245062475,3.4135429262394195,0.9238210399032648,1.8274889157597742,3.351068117694478,50
ksc,2,0.8637646110439339,0.879484079000403,1.3196291817815398,3.7299476017734783,0.8964127367996776,1.1745264006449012,3.24627166465135,0.8895606610237807,1.1084240225715438,3.317210802095929,0.8891575977428456,1.0834340991535671,3.300282144296655,0.9105199516324063,1.5042321644498187,3.293833131801693,50
ksc,3,0.864167674324869,0.8875453446191052,1.3075372833534864,3.5566303909713826,0.8786779524385329,1.1422813381700927,3.5687222893994357,0.8802902055622733,1.0834340991535671,3.4776299879081014,0.8786779524385329,1.052398226521564,3.4788391777509067,0.8802902055622733,1.0878677952438534,3.482063683998388,100
ksc,4,0.7859733978234583,0.898024989923418,1.7916162837565497,3.8311164852881903,0.8988311164852882,1.5715437323659815,3.594921402660218,0.8988311164852882,1.5348649738008868,3.558242644095123,0.9028617492946392,1.559048770656993,3.501813784764208,0.932285368802902,1.924627166465135,3.2789197904070937,100
ksc,5,0.7654171704957679,0.8819024586860137,1.9939540507859734,4.355904877065699,0.8859330914953648,1.6985086658605402,3.9798468359532446,0.8859330914953648,1.5945183393792826,3.875856509471987,0.8883514711809755,1.523982265215639,3.7569528415961306,0.8935912938331319,1.682386134623136,3.8105602579605,50
ksc,6,0.79242241031842,0.9000403063280935,1.502619911326078,3.501813784764208,0.9032648125755743,1.3043127771060057,3.2390165255945185,0.9081015719467956,1.2740830310358726,3.11205159209996,0.9117291414752116,1.2507053607416365,3.0161225312374045,0.9145505844417574,1.3498589278516726,3.0588472390165258,100
