dataset,seed,alpha,method,is,cov,size,sscv_pct
ip,5,0.1,A,3.8348,0.906,1.9548,2.038057085628442
ip,5,0.1,B,3.7228,0.9034,1.7908,9.999999999999998
ip,5,0.1,C,3.3496,0.9242,1.8336,5.9198813056379755
ip,5,0.15,D,3.8492666666666673,0.8516,1.8706,8.529411764705886
ip,5,0.15,A,3.4892,0.8566,1.5772,15.000000000000002
ip,5,0.15,B,3.4090666666666665,0.8546,1.4704,15.000000000000002
ip,5,0.15,C,3.3018666666666663,0.8744,1.6272,8.396868618107556
ip,6,0.05,D,5.1046,0.9514,3.1606,5.841654778887295
ip,6,0.05,A,4.3296,0.9556,2.5536,2.41444866920153
ip,6,0.05,B,4.191,0.9532,2.319,4.365750528541234
ip,6,0.05,C,3.6022,0.964,2.1622,3.43942505133471
ip,6,0.1,D,4.2822,0.9006,2.2942,3.43283582089553
ip,6,0.1,A,4.1112,0.8952,2.0152,4.73684210526315
ip,6,0.1,B,3.9506,0.8962,1.8746,9.999999999999998
ip,6,0.1,C,3.4852,0.9184,1.8532,5.726495726495728
ip,6,0.15,D,3.9608,0.8458,1.9048,15.000000000000002
ip,6,0.15,A,3.7651333333333334,0.8436,1.6798,15.000000000000002
ip,6,0.15,B,3.717,0.8392,1.573,4.847328244274807
ip,6,0.15,C,3.3313333333333337,0.8736,1.646,8.776520509193775
ip,7,0.05,D,5.1522,0.9576,3.4562,10.742793791574279
ip,7,0.05,A,4.4744,0.954,2.6344,3.3700081499592582
ip,7,0.05,B,4.1134,0.9582,2.4414,5.85714285714285
ip,7,0.05,C,3.3416,0.9762,2.3896,4.282639885222384
ip,7,0.1,D,4.2388,0.9112,2.4628,6.365524402907575
ip,7,0.1,A,3.9784,0.908,2.1384,6.275167785234903
ip,7,0.1,B,3.61,0.914,1.89,9.999999999999998
ip,7,0.1,C,3.1082,0.9396,1.9002,7.301717089125104
ip,7,0.15,D,3.857866666666667,0.8636,2.0392,9.414893617021281
ip,7,0.15,A,3.6689333333333334,0.858,1.7756,7.3076923076923155
ip,7,0.15,B,3.4446666666666665,0.863,1.618,15.000000000000002
ip,7,0.15,C,3.122066666666667,0.8948,1.7194,9.535104364326374
ip,8,0.05,D,5.8688,0.95,3.8688,3.684863523573201
ip,8,0.05,A,5.2646,0.947,3.1446,3.80566801619433
ip,8,0.05,B,4.4822,0.9466,2.3462,4.39774983454665
ip,8,0.05,C,3.753,0.9686,2.497,3.790322580645167
ip,8,0.1,D,4.8892,0.895,2.7892,6.162046908315566
ip,8,0.1,A,4.0954,0.8958,2.0114,2.333736396614272
ip,8,0.1,B,3.8408,0.8956,1.7528,9.999999999999998
ip,8,0.1,C,3.4612,0.928,2.0212,6.629213483146068
ip,8,0.15,D,4.088133333333333,0.8484,2.0668,11.66666666666667
ip,8,0.15,A,3.6754,0.85,1.6754,15.000000000000002
ip,8,0.15,B,3.5061333333333335,0.8526,1.5408,15.000000000000002
ip,8,0.15,C,3.469,0.874,1.789,8.647058823529418
ip,9,0.05,D,5.0708,0.9536,3.2148,7.499999999999996
ip,9,0.05,A,4.4524,0.9532,2.5804,1.2962962962962954
ip,9,0.05,B,4.2298,0.9518,2.3018,0.8656330749354013
ip,9,0.05,C,3.3048,0.9698,2.0968,3.9389920424403257
ip,9,0.1,D,4.2404,0.9014,2.2684,4.273127753303962
ip,9,0.1,A,3.7442,0.9078,1.9002,3.625866050808313
ip,9,0.1,B,3.6344,0.9038,1.7104,2.857142857142858
ip,9,0.1,C,3.2396,0.9248,1.7356,6.503496503496498
ip,9,0.15,D,3.7739333333333334,0.852,1.8006,3.796680497925309
ip,9,0.15,A,3.326666666666666,0.8624,1.492,85.0
ip,9,0.15,B,3.243,0.8638,1.427,15.000000000000002
