experiment,config_id,alpha,method,best_bw,is,cov,size,sscv_pct,dataset,seed,tile,size_px
HSI,ip_seed0,0.1,E,10,4.0584,0.9062,2.1824,5.220066256507339,ip,0.0,,
HSI,ip_seed0,0.15,E,10,3.805,0.853,1.845,6.930116472545755,ip,0.0,,
HSI,ip_seed1,0.05,E,10,4.84,0.9542,3.008,2.610921501706487,ip,1.0,,
HSI,ip_seed1,0.1,E,10,4.1526,0.9106,2.3646,4.074074074074074,ip,1.0,,
HSI,ip_seed1,0.15,E,10,3.8616,0.8602,1.9976,5.800915331807788,ip,1.0,,
HSI,ip_seed2,0.05,E,15,5.0024,0.9612,3.4504,2.7551020408163263,ip,2.0,,
HSI,ip_seed2,0.1,E,15,4.2956,0.9106,2.5076,5.7095709570957105,ip,2.0,,
HSI,ip_seed2,0.15,E,15,4.0128666666666675,0.854,2.0662,5.517241379310345,ip,2.0,,
HSI,ip_seed3,0.05,E,20,4.588,0.9622,3.076,2.887323943661979,ip,3.0,,
HSI,ip_seed3,0.1,E,20,3.9588,0.9158,2.2748,3.89048991354467,ip,3.0,,
HSI,ip_seed3,0.15,E,20,3.830066666666667,0.8522,1.8594,4.699179580674572,ip,3.0,,
HSI,ip_seed4,0.05,E,10,4.4282,0.9598,2.8202,2.8563772775991425,ip,4.0,,
HSI,ip_seed4,0.1,E,10,3.8272,0.9128,2.0832,3.2216905901116366,ip,4.0,,
HSI,ip_seed4,0.15,E,10,3.6947333333333336,0.8532,1.7374,8.150684931506847,ip,4.0,,
HSI,ip_seed5,0.05,E,20,4.5164,0.9616,2.9804,2.6843910806174986,ip,5.0,,
HSI,ip_seed5,0.1,E,20,4.0398,0.9116,2.2718,4.680851063829783,ip,5.0,,
HSI,ip_seed5,0.15,E,20,3.8284,0.8542,1.8844,6.925465838509314,ip,5.0,,
HSI,ip_seed6,0.05,E,7,4.6274,0.954,2.7874,2.877984084880636,ip,6.0,,
HSI,ip_seed6,0.1,E,7,4.0164,0.9108,2.2324,5.129224652087472,ip,6.0,,
HSI,ip_seed6,0.15,E,7,3.810866666666667,0.8582,1.9202,7.249778565101861,ip,6.0,,
HSI,ip_seed7,0.05,E,10,4.8598,0.9602,3.2678,3.955223880597014,ip,7.0,,
HSI,ip_seed7,0.1,E,10,4.1238,0.9164,2.4518,4.966887417218546,ip,7.0,,
HSI,ip_seed7,0.15,E,10,3.7808000000000006,0.8704,2.0528,8.442622950819679,ip,7.0,,
HSI,ip_seed8,0.05,E,10,5.4602,0.955,3.6602,1.972972972972975,ip,8.0,,
HSI,ip_seed8,0.1,E,10,4.3586,0.9108,2.5746,3.193069306930696,ip,8.0,,
HSI,ip_seed8,0.15,E,10,3.997266666666667,0.8594,2.1226,4.229249011857705,ip,8.0,,
HSI,ip_seed9,0.05,E,20,4.552,0.9584,2.888,2.038499506416591,ip,9.0,,
HSI,ip_seed9,0.1,E,20,3.9292,0.9098,2.1252,4.977307110438733,ip,9.0,,
HSI,ip_seed9,0.15,E,20,3.6919333333333335,0.8544,1.7506,10.522388059701493,ip,9.0,,
HSI,ksc_seed0,0.05,E,30,3.9391374445787988,0.9532446594115276,2.0689238210399035,4.233128834355837,ksc,0.0,,
HSI,ksc_seed0,0.1,E,30,3.6739218057234986,0.901652559451834,1.7069729947601773,8.55769230769231,ksc,0.0,,
HSI,ksc_seed0,0.15,E,30,3.4433696090286174,0.8548972188633616,1.5086658605401049,12.731691510045373,ksc,0.0,,
HSI,ksc_seed1,0.05,E,30,4.365981459089077,0.9492140266021766,2.3345425231761388,3.098859315589353,ksc,1.0,,
HSI,ksc_seed1,0.1,E,30,3.8665860540104795,0.9068923821039904,2.004433696090286,6.052631578947365,ksc,1.0,,
HSI,ksc_seed1,0.15,E,30,3.6772806663979587,0.8569125352680371,1.7694478033051189,7.841490138787444,ksc,1.0,,
HSI,ksc_seed2,0.05,E,100,3.88714228133817,0.9459895203546956,1.7267230955259976,1.9696969696969768,ksc,2.0,,
HSI,ksc_seed2,0.1,E,100,3.4615074566706974,0.894397420395002,1.3494558645707375,9.999999999999998,ksc,2.0,,
HSI,ksc_seed2,0.15,E,100,3.307671637780465,0.8399838774687626,1.1741233373639661,15.000000000000002,ksc,2.0,,
HSI,ksc_seed3,0.05,E,50,3.9270455461507456,0.9435711406690851,1.6698911729141475,3.2758620689655182,ksc,3.0,,
HSI,ksc_seed3,0.1,E,50,3.682789197904071,0.8806932688432084,1.2966545747682385,5.000000000000004,ksc,3.0,,
HSI,ksc_seed3,0.15,E,50,3.430337229611716,0.8286981056025796,1.1463119709794438,15.000000000000002,ksc,3.0,,
HSI,ksc_seed4,0.05,E,50,3.740830310358726,0.954453849254333,1.9189842805320436,3.979591836734697,ksc,4.0,,
HSI,ksc_seed4,0.1,E,50,3.400644901249496,0.9081015719467956,1.5626763401854091,6.825396825396823,ksc,4.0,,
HSI,ksc_seed4,0.15,E,50,3.238747816740562,0.860540104796453,1.3792825473599355,7.489137181874616,ksc,4.0,,
HSI,ksc_seed5,0.05,E,30,4.460701330108827,0.9419588875453446,2.1390568319226118,3.850574712643684,ksc,5.0,,
HSI,ksc_seed5,0.1,E,30,3.951229343006852,0.886739218057235,1.6860137041515517,8.936170212765958,ksc,5.0,,
HSI,ksc_seed5,0.15,E,30,3.668010210936451,0.8327287384119306,1.437726723095526,15.000000000000002,ksc,5.0,,
HSI,ksc_seed6,0.05,E,100,4.825876662636034,0.9516324062877872,2.8911729141475213,2.619047619047621,ksc,6.0,,
HSI,ksc_seed6,0.1,E,100,4.083837162434502,0.8992341797662233,2.0685207577589684,3.376068376068375,ksc,6.0,,
