tile,size_km,size_px,alpha,method,is,cov,size,sscv_pct,accuracy
lancaster_pa,1.0,100,0.05,D,3.6226226226226226,0.9434434434434434,1.3603603603603605,5.000000000000004,0.8733733733733734
lancaster_pa,1.0,100,0.05,A,3.190690690690691,0.953953953953954,1.3488488488488488,5.000000000000004,0.8733733733733734
lancaster_pa,1.0,100,0.05,B,3.504004004004004,0.9424424424424425,1.2017017017017018,5.000000000000004,0.8733733733733734
lancaster_pa,1.0,100,0.05,C,3.594094094094094,0.944944944944945,1.3918918918918919,5.000000000000004,0.8733733733733734
lancaster_pa,1.0,100,0.1,D,3.240740740740741,0.8963963963963963,1.1686686686686687,9.999999999999998,0.8733733733733734
lancaster_pa,1.0,100,0.1,A,3.360860860860861,0.8908908908908909,1.1786786786786787,9.999999999999998,0.8733733733733734
lancaster_pa,1.0,100,0.1,B,3.214214214214214,0.8923923923923924,1.062062062062062,9.999999999999998,0.8733733733733734
lancaster_pa,1.0,100,0.1,C,3.3793793793793796,0.8873873873873874,1.127127127127127,5.23809523809523,0.8733733733733734
lancaster_pa,1.0,100,0.15,D,3.1823490156823495,0.8403403403403403,1.0535535535535536,6.25786163522013,0.8733733733733734
lancaster_pa,1.0,100,0.15,A,3.057223890557224,0.8538538538538538,1.1086086086086087,18.333333333333336,0.8733733733733734
lancaster_pa,1.0,100,0.15,B,3.0949282615949283,0.8413413413413413,0.9794794794794794,15.000000000000002,0.8733733733733734
lancaster_pa,1.0,100,0.15,C,3.184684684684685,0.8363363363363363,1.0025025025025025,15.000000000000002,0.8733733733733734
lancaster_pa,2.0,200,0.05,D,3.7953465098824117,0.9437077808356267,1.5436577433074805,2.619047619047621,0.8398799099324493
lancaster_pa,2.0,200,0.05,A,3.5883162371778834,0.946084563422567,1.4316987740805605,5.000000000000004,0.8398799099324493
lancaster_pa,2.0,200,0.05,B,3.585814360770578,0.9439579684763573,1.3441330998248686,0.8628928505789335,0.8398799099324493
lancaster_pa,2.0,200,0.05,C,3.5476607455591695,0.9473355016262197,1.441080810607956,5.000000000000004,0.8398799099324493
lancaster_pa,2.0,200,0.1,D,3.434826119589692,0.8939204403302476,1.3132349261946459,9.999999999999998,0.8398799099324493
lancaster_pa,2.0,200,0.1,A,3.444833625218914,0.8899174380785589,1.2431823867900926,9.999999999999998,0.8398799099324493
lancaster_pa,2.0,200,0.1,B,3.2868401300975734,0.8939204403302476,1.165248936702527,4.642857142857137,0.8398799099324493
lancaster_pa,2.0,200,0.1,C,3.289091818864148,0.8960470352764573,1.210032524393295,9.999999999999998,0.8398799099324493
lancaster_pa,2.0,200,0.15,D,3.1891418563922946,0.8495121341005755,1.1826369777333,15.000000000000002,0.8398799099324493
lancaster_pa,2.0,200,0.15,A,3.2767075306479865,0.839754816112084,1.1401050788091067,15.000000000000002,0.8398799099324493
lancaster_pa,2.0,200,0.15,B,3.1928529730631308,0.8398799099324493,1.0579184388291218,7.961165048543695,0.8398799099324493
lancaster_pa,2.0,200,0.15,C,3.179843215745142,0.8428821616212159,1.084938704028021,7.118226600985222,0.8398799099324493
lancaster_pa,5.0,500,0.05,D,3.75642,0.9528,1.86842,5.000000000000004,0.79844
lancaster_pa,5.0,500,0.05,A,3.7539,0.9488,1.7059,5.000000000000004,0.79844
lancaster_pa,5.0,500,0.05,B,3.6027,0.95114,1.6483,5.000000000000004,0.79844
lancaster_pa,5.0,500,0.05,C,3.6003,0.9514,1.6563,5.000000000000004,0.79844
lancaster_pa,5.0,500,0.1,D,3.51154,0.90138,1.53914,9.999999999999998,0.79844
lancaster_pa,5.0,500,0.1,A,3.43482,0.89946,1.42402,9.999999999999998,0.79844
lancaster_pa,5.0,500,0.1,B,3.32108,0.89998,1.32068,9.999999999999998,0.79844
lancaster_pa,5.0,500,0.1,C,3.37168,0.89934,1.35848,9.999999999999998,0.79844
lancaster_pa,5.0,500,0.15,D,3.3336733333333344,0.85026,1.33714,12.435897435897436,0.79844
lancaster_pa,5.0,500,0.15,A,3.297953333333333,0.84774,1.26782,15.000000000000002,0.79844
lancaster_pa,5.0,500,0.15,B,3.1839000000000004,0.84868,1.1663,15.000000000000002,0.79844
lancaster_pa,5.0,500,0.15,C,3.1951933333333336,0.85026,1.19866,15.000000000000002,0.79844
lubbock_tx,1.0,100,0.05,D,4.213606803401701,0.9364682341170585,1.672336168084042,5.012360939431392,0.807903951975988
lubbock_tx,1.0,100,0.05,A,3.6718359179589797,0.9504752376188094,1.6908454227113556,5.000000000000004,0.807903951975988
lubbock_tx,1.0,100,0.05,B,3.6673336668334167,0.9489744872436218,1.6263131565782891,5.000000000000004,0.807903951975988
lubbock_tx,1.0,100,0.05,C,3.882441220610305,0.9429714857428715,1.6013006503251626,5.000000000000004,0.807903951975988
lubbock_tx,1.0,100,0.1,D,3.5947973986993498,0.8894447223611806,1.3836918459229615,9.999999999999998,0.807903951975988
lubbock_tx,1.0,100,0.1,A,3.3836918459229617,0.8984492246123061,1.3526763381690845,9.999999999999998,0.807903951975988
lubbock_tx,1.0,100,0.1,B,3.5297648824412207,0.8874437218609305,1.27863931965983,5.454545454545457,0.807903951975988
lubbock_tx,1.0,100,0.1,C,3.455727863931966,0.8924462231115557,1.3046523261630816,6.721311475409831,0.807903951975988
lubbock_tx,1.0,100,0.15,D,3.3143238285809575,0.8404202101050525,1.1865932966483241,9.999999999999998,0.807903951975988
lubbock_tx,1.0,100,0.15,A,3.282808070702018,0.8404202101050525,1.1550775387693848,15.000000000000002,0.807903951975988
lubbock_tx,1.0,100,0.15,B,3.258629314657329,0.8379189594797398,1.0975487743871937,15.000000000000002,0.807903951975988
lubbock_tx,1.0,100,0.15,C,3.2616308154077043,0.8394197098549274,1.12056028014007,15.000000000000002,0.807903951975988
lubbock_tx,2.0,200,0.05,D,3.807552832312117,0.9504814305364512,1.826810053770164,5.783055198973042,0.7996748780792797
lubbock_tx,2.0,200,0.05,A,3.6798799549831185,0.9523571339252219,1.774165311991997,5.000000000000004,0.7996748780792797
lubbock_tx,2.0,200,0.05,B,3.510941603101163,0.956358634487933,1.7652869826184818,5.000000000000004,0.7996748780792797
lubbock_tx,2.0,200,0.05,C,3.396523696386145,0.9588595723396274,1.7509065899712393,5.000000000000004,0.7996748780792797
lubbock_tx,2.0,200,0.1,D,3.37414030261348,0.9063398774540453,1.5009378516943854,9.999999999999998,0.7996748780792797
lubbock_tx,2.0,200,0.1,A,3.2761035388270603,0.9087157684131549,1.4504189070901587,9.999999999999998,0.7996748780792797
lubbock_tx,2.0,200,0.1,B,3.2425909716143555,0.9085907215205702,1.4144054020257597,9.999999999999998,0.7996748780792797
lubbock_tx,2.0,200,0.1,C,3.176066024759285,0.9115918469426034,1.4079029636113543,9.999999999999998,0.7996748780792797
lubbock_tx,2.0,200,0.15,D,3.160101704805969,0.8584469175940977,1.2727272727272727,15.000000000000002,0.7996748780792797
lubbock_tx,2.0,200,0.15,A,3.11437622441749,0.8579467300237589,1.2203326247342754,15.000000000000002,0.7996748780792797
lubbock_tx,2.0,200,0.15,B,3.0693593430869917,0.8579467300237589,1.1753157434037764,15.000000000000002,0.7996748780792797
lubbock_tx,2.0,200,0.15,C,3.0702763536326128,0.8585719644866825,1.1845692134550456,15.000000000000002,0.7996748780792797
lubbock_tx,5.0,500,0.05,D,3.89074,0.94984,1.88434,6.2037443323094905,0.78472
lubbock_tx,5.0,500,0.05,A,3.8641,0.95028,1.8753,5.000000000000004,0.78472
lubbock_tx,5.0,500,0.05,B,3.81098,0.9495,1.79098,5.001159554730982,0.78472
lubbock_tx,5.0,500,0.05,C,3.83384,0.9474,1.72984,5.000000000000004,0.78472
lubbock_tx,5.0,500,0.1,D,3.51134,0.90034,1.51814,9.999999999999998,0.78472
lubbock_tx,5.0,500,0.1,A,3.51428,0.90078,1.52988,9.999999999999998,0.78472
lubbock_tx,5.0,500,0.1,B,3.40546,0.90204,1.44626,9.999999999999998,0.78472
lubbock_tx,5.0,500,0.1,C,3.43426,0.89886,1.41146,9.999999999999998,0.78472
lubbock_tx,5.0,500,0.15,D,3.2774333333333336,0.85206,1.3049,15.000000000000002,0.78472
lubbock_tx,5.0,500,0.15,A,3.3073333333333337,0.85008,1.3084,15.000000000000002,0.78472
lubbock_tx,5.0,500,0.15,B,3.19812,0.85054,1.20532,15.000000000000002,0.78472
lubbock_tx,5.0,500,0.15,C,3.212633333333334,0.85008,1.2137,15.000000000000002,0.78472
mississippi_la,2.0,200,0.05,D,3.07425,0.94775,0.98425,5.000000000000004,0.986
mississippi_la,2.0,200,0.05,A,3.157875,0.946125,1.002875,5.000000000000004,0.986
